old_name,new_name
Wolf_Eiserhardt_Sabal-bermudana-MSL23-S36_R2_001.fastq,1069_R2.fastq
Wolf_Eiserhardt_Sabinaria-magnifica-SBL214_R1_001.fastq,1070_R1.fastq
Wolf_Eiserhardt_Sabinaria-magnifica-SBL214_R2_001.fastq,1070_R2.fastq
Wolf_Eiserhardt_Saribus-papuanus-MSL44_R1_001.fastq,1071_R1.fastq
Wolf_Eiserhardt_Saribus-papuanus-MSL44_R2_001.fastq,1071_R2.fastq
Wolf_Eiserhardt_Satranala-decussilvae-MSL69_R1_001.fastq,1072_R1.fastq
Wolf_Eiserhardt_Satranala-decussilvae-MSL69_R2_001.fastq,1072_R2.fastq
Wolf_Eiserhardt_Schippia-concolor-MSL47_R1_001.fastq,1073_R1.fastq
Wolf_Eiserhardt_Schippia-concolor-MSL47_R2_001.fastq,1073_R2.fastq
Wolf_Eiserhardt_Serenoa-repens-SBL542_R1_001.fastq,1074_R1.fastq
Wolf_Eiserhardt_Serenoa-repens-SBL542_R2_001.fastq,1074_R2.fastq
Wolf_Eiserhardt_Trachycarpus-fortunei-SBL161_R1_001.fastq,1075_R1.fastq
Wolf_Eiserhardt_Trachycarpus-fortunei-SBL161_R2_001.fastq,1075_R2.fastq
Wolf_Eiserhardt_Trithrinax-brasiliensis-MSL21_R1_001.fastq,1076_R1.fastq
Wolf_Eiserhardt_Trithrinax-brasiliensis-MSL21_R2_001.fastq,1076_R2.fastq
Wolf_Eiserhardt_Washingtonia-filifera-MSL58_R1_001.fastq,1077_R1.fastq
Wolf_Eiserhardt_Washingtonia-filifera-MSL58_R2_001.fastq,1077_R2.fastq
Wolf_Eiserhardt_Zombia-antillarum-SBL222_R1_001.fastq,1078_R1.fastq
Wolf_Eiserhardt_Zombia-antillarum-SBL222_R2_001.fastq,1078_R2.fastq
Aphandra-natalia-MSL45-S26_R1_001.fastq,1079_R1.fastq
Aphandra-natalia-MSL45-S26_R2_001.fastq,1079_R2.fastq
Dypsis-ambositrae-SBL175-S45_R1_001.fastq,1080_R1.fastq
Dypsis-ambositrae-SBL175-S45_R2_001.fastq,1080_R2.fastq
Eugeissona-tristis-MSL52-S20_R1_001.fastq,1081_R1.fastq
Eugeissona-tristis-MSL52-S20_R2_001.fastq,1081_R2.fastq
Nypa-fructicans-MSL30-S32_R1_001.fastq,1082_R1.fastq
Nypa-fructicans-MSL30-S32_R2_001.fastq,1082_R2.fastq
a10AL1_FKDL202605679-1a-DY0088-AK1682_HMF7CDRXX_L2_1.fq,2001_R1.fastq
a10AL1_FKDL202605679-1a-DY0088-AK1682_HMF7CDRXX_L2_2.fq,2001_R2.fastq
a11AL1_FKDL202605679-1a-DY0088-AK1780_HMF7CDRXX_L2_1.fq,2002_R1.fastq
a11AL1_FKDL202605679-1a-DY0088-AK1780_HMF7CDRXX_L2_2.fq,2002_R2.fastq
a12AL1_FKDL202605679-1a-DY0088-AK1543_HMF7CDRXX_L2_1.fq,2003_R1.fastq
a12AL1_FKDL202605679-1a-DY0088-AK1543_HMF7CDRXX_L2_2.fq,2003_R2.fastq
a13AL1_FKDL202605679-1a-DY0088-AK1544_HMF7CDRXX_L2_1.fq,2004_R1.fastq
a13AL1_FKDL202605679-1a-DY0088-AK1544_HMF7CDRXX_L2_2.fq,2004_R2.fastq
a14AL1_FKDL202605679-1a-DY0088-AK1545_HMF7CDRXX_L2_1.fq,2005_R1.fastq
a14AL1_FKDL202605679-1a-DY0088-AK1545_HMF7CDRXX_L2_2.fq,2005_R2.fastq
a15AL1_FKDL202605679-1a-DY0088-AK1546_HMF7CDRXX_L2_1.fq,2006_R1.fastq
a15AL1_FKDL202605679-1a-DY0088-AK1546_HMF7CDRXX_L2_2.fq,2006_R2.fastq
a16AL1_FKDL202605679-1a-D705-AK1780_HMF7CDRXX_L2_1.fq,2007_R1.fastq
a16AL1_FKDL202605679-1a-D705-AK1780_HMF7CDRXX_L2_2.fq,2007_R2.fastq
a17AL1_FKDL202605679-1a-D705-AK1543_HMF7CDRXX_L2_1.fq,2008_R1.fastq
a17AL1_FKDL202605679-1a-D705-AK1543_HMF7CDRXX_L2_2.fq,2008_R2.fastq
a18AL1_FKDL202605679-1a-D705-AK1544_HMF7CDRXX_L2_1.fq,2009_R1.fastq
